exit_id,employee_id,exit_date,exit_reason,exit_type,notice_period_days,employee_satisfaction_score
1,11,2026-02-08,Better Opportunity,Voluntary,30,5
2,20,2026-09-09,Work Environment,Voluntary,15,3
3,35,2026-07-01,Relocation,Voluntary,30,3
4,49,2026-08-26,Personal Reasons,Voluntary,30,2
5,64,2026-07-06,Health,Voluntary,30,1
6,70,2024-07-27,Management,Involuntary,7,2
7,128,2024-01-20,Health,Voluntary,15,4
8,142,2025-05-13,Retirement,Retirement,90,5
9,161,2026-08-28,Personal Reasons,Voluntary,45,4
10,211,2014-02-13,Career Growth,Voluntary,45,3
11,229,2022-12-22,Career Growth,Voluntary,30,3
12,275,2025-08-23,Career Growth,Voluntary,15,4
13,302,2023-10-20,Better Opportunity,Voluntary,30,4
14,316,2024-02-06,Retirement,Retirement,60,4
15,324,2026-08-29,Management,Voluntary,60,3
16,336,2024-11-13,Relocation,Voluntary,15,3
17,355,2024-03-09,Retirement,Retirement,90,4
18,367,2026-01-04,Other,Voluntary,45,1
19,369,2025-08-01,Health,Voluntary,60,1
20,424,2024-12-01,Management,Involuntary,15,1
21,425,2024-09-21,Other,Involuntary,0,2
22,426,2026-07-18,Better Opportunity,Voluntary,30,4
23,473,2026-09-14,Other,Involuntary,7,1
24,490,2026-07-30,Better Opportunity,Voluntary,30,4
25,498,2025-11-08,Management,Involuntary,0,1
26,515,2026-03-06,Management,Voluntary,30,2
27,517,2025-11-27,Relocation,Voluntary,15,1
28,521,2024-07-22,Management,Voluntary,45,5
29,566,2024-04-30,Retirement,Retirement,90,4
30,586,2025-02-01,Salary,Voluntary,30,2
31,591,2026-05-18,Better Opportunity,Voluntary,45,4
32,595,2025-11-26,Other,Involuntary,0,1
33,609,2025-10-24,Retirement,Retirement,60,4
34,627,2026-09-13,Work Environment,Voluntary,45,2
35,631,2026-04-21,Salary,Voluntary,15,2
36,632,2026-01-11,Career Growth,Voluntary,30,4
37,633,2025-08-22,Salary,Voluntary,60,2
38,638,2026-08-26,Career Growth,Voluntary,60,3
39,665,2026-05-26,Retirement,Retirement,90,4
40,675,2026-08-17,Management,Voluntary,45,4
41,687,2026-08-16,Career Growth,Voluntary,30,4
42,726,2020-04-21,Career Growth,Voluntary,45,4
43,746,2024-04-23,Retirement,Retirement,60,5
44,761,2024-12-31,Retirement,Retirement,90,5
45,771,2026-08-21,Other,Involuntary,15,3
46,774,2026-03-25,Retirement,Retirement,90,3
47,779,2026-09-11,Relocation,Voluntary,30,2
48,781,2026-04-18,Management,Voluntary,30,2
49,820,2026-09-14,Retirement,Retirement,90,5
50,844,2026-03-19,Retirement,Retirement,90,4
51,873,2024-11-19,Retirement,Retirement,90,5
52,892,2026-08-19,Salary,Voluntary,30,4
53,899,2025-05-08,Retirement,Retirement,60,5
54,908,2026-09-07,Work Environment,Voluntary,30,2
55,964,2026-09-08,Career Growth,Voluntary,60,4
56,978,2025-07-21,Salary,Voluntary,30,5
57,982,2026-06-06,Salary,Voluntary,60,3
58,1026,2025-09-17,Other,Voluntary,45,4
59,1043,2026-08-19,Management,Involuntary,15,1
60,1076,2023-04-30,Other,Involuntary,15,2
61,1129,2026-02-16,Other,Voluntary,15,2
62,1137,2026-08-25,Career Growth,Voluntary,60,1
63,1155,2026-02-04,Retirement,Retirement,90,3
64,1164,2012-01-26,Other,Involuntary,0,1
65,1172,2026-05-04,Management,Involuntary,7,1
66,1174,2026-07-31,Career Growth,Voluntary,15,3
67,1180,2026-08-02,Health,Voluntary,15,5
68,1195,2024-11-21,Retirement,Retirement,90,3
69,1211,2023-03-30,Health,Voluntary,30,1
70,1213,2025-09-25,Personal Reasons,Voluntary,30,2
71,1234,2022-11-12,Personal Reasons,Voluntary,60,4
72,1266,2025-05-21,Relocation,Voluntary,60,4
73,1269,2026-02-10,Relocation,Voluntary,30,3
74,1274,2026-07-05,Salary,Voluntary,30,4
75,1286,2026-01-01,Personal Reasons,Voluntary,30,1
76,1295,2026-08-13,Personal Reasons,Voluntary,15,3
77,1299,2026-09-09,Health,Voluntary,30,5
78,1306,2026-07-10,Retirement,Retirement,90,4
79,1350,2026-08-22,Management,Voluntary,30,3
80,1378,2026-06-11,Health,Voluntary,45,1
81,1379,2026-08-25,Better Opportunity,Voluntary,60,1
82,1386,2026-08-31,Career Growth,Voluntary,45,5
83,1404,2026-01-09,Other,Involuntary,7,1
84,1407,2026-03-20,Management,Involuntary,0,1
85,1417,2023-02-08,Management,Involuntary,15,1
86,1421,2023-02-12,Management,Voluntary,15,3
87,1427,2024-05-23,Other,Voluntary,30,4
88,1475,2017-06-04,Other,Involuntary,0,2
89,1488,2026-03-06,Relocation,Voluntary,30,2
90,1494,2026-03-07,Other,Involuntary,0,3
91,1525,2023-12-30,Relocation,Voluntary,30,2
92,1528,2025-11-28,Personal Reasons,Voluntary,30,4
93,1536,2023-03-07,Other,Involuntary,7,1
